Title;Author;Publisher;Published Date;Format;Pages;Series;Volume;Language;ISBN;Page Read;Item Url;Icon Path;Photo Path;Image Url;Summary;Location;Price;Genres;Rating;Added Date;Copy Index;Read;Started Reading Date;Finished Reading Date;Favorite;Comments;Tags;BookShelf;Settings
A proposito di niente;"Allen, Woody; Pezzotta, Alberto";La nave di Teseo;2020-05-14;Copertina flessibile;400;;;Italiano;9788834603345;;https://www.amazon.it/dp/8834603346?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41rzTmOtawL._SL500_.jpg;Nato a Brooklyn nel 1935, Woody Allen ha iniziato la sua carriera nello spettacolo a sedici anni, scrivendo battute per un giornale di Broadway, e ha continuato a scrivere per la radio, la televisione, il teatro, il cinema e il New Yorker. Ha lasciato la stanza dello scrittore decenni fa per diventare comico nei locali notturni e, da allora, un regista conosciuto in tutto il mondo. Durante sessant’anni di cinema, ha scritto e diretto cinquanta film, recitando in molti di essi. Ha ricevuto numerosi riconoscimenti internazionali, diverse statue sono state erette in suo onore (qualcosa di cui non riuscirà mai a capacitarsi) e i suoi film sono stati studiati nelle scuole e nelle università di tutto il mondo. In A proposito di niente, Allen racconta dei suoi primi matrimoni, con una fiamma della giovinezza e poi con l’amata e divertente Louise Lasser, che evidentemente adora ancora. Racconta anche della sua storia e dell’amicizia eterna con Diane Keaton. Descrive la sua relazione personale e professionale con Mia Farrow, che ha dato vita a film divenuti classici fino alla loro burrascosa rottura, per la quale l’industria dei tabloid ancora li ringrazia. Afferma di essere stato il più sorpreso di tutti quando a 56 anni è iniziata una relazione romantica con la ventunenne Soon-Yi Previn, diventata una storia d’amore appassionata e un matrimonio felice che dura da oltre ventidue anni. Ironico, pienamente sincero, pieno di guizzi creativi e non poca confusione, un’icona della cultura mondiale racconta, non richiesto, la propria storia.;;;Biografie e autobiografie;4.02;2026-05-23;;;;;;;;Sala;3.0.0
Afrodita. Racconti, ricette e altri afrodisiaci;"Allende, Isabel; Llona, Panchita; Liverani, Elena; Geroldi, Simona; Shekter, Robert";Feltrinelli;1998-04-06;Copertina flessibile;325;;;Italiano;9788807420856;;https://www.amazon.it/dp/8807420856?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/417gyu+c1RL._SL500_.jpg;"Me arrepiento de los platos deliciosos rechazados por vanidad, tanto como lamento las ocasiones de hacer el amor que he dejado pasar por ocuparme de tareas pendientes o por virtud puritana, ya que ""la sexualidad es un componente de la buena salud, inspira la creación y es parte del camino del alma... Por desgracia, me demoré treinta años en descubrirlo"". English Translation: I regret delicious plates rejected by vanity, as much as moan the occasions to make the love that I have let pass to occupy to me of pending tasks or by puritana virtue, since "" the sexuality is a component of the good health, it inspires the creation and it is part of the way of the core... Unfortunately, I was delayed thirty years in discovering it "".";;;Narrativa contemporanea;3.63;2026-05-23;;;;;;;;Sala;257
Aléxandros;Manfredi, Valerio Massimo;Mondadori;2002-11-26;Copertina flessibile;883;Alexandros;;Italiano;9788804515968;;https://www.goodreads.com/book/show/2927903-al-xandros;;;https://s.gr-assets.com/assets/nophoto/book/111x148-675b3b2743c83e96e2540d2929d5f4d2.png;"Conquistò un impero enorme, toccando i confini del mondo allora conosciuto. Ma chi era davvero Alessandro, il giovane re macedone considerato un dio dai suoi contemporanei? Questa trilogia ci porta nel cuore della sua avventura: dall'infanzia, segnata dall'assassinio del padre Filippo, al patto di sangue con i più fedeli compagni; dai presagi sul suo grande destino fino alla conquista dell'Asia, un'impresa impensabile per un greco del IV secolo a.C. Lo vediamo marciare, combattere, amare. Lo accompagniamo nello svolgersi di una vita irripetibile e favolosa. E siamo con lui quando il suo sogno sembra infrangersi di fronte al termine del viaggio, al confine estremo della terra.";;;Favorites;4.35;2026-05-23;;;;;;;;Sala;MM/DD/YYYY
Bella vita e guerre altrui di Mr. Pyle, gentiluomo;Barbero, Alessandro;A. Mondadori;;Copertina rigida;660;;;Italiano;9788804400875;;https://www.goodreads.com/book/show/433884.Bella_vita_e_guerre_altrui_di_Mr_Pyle_gentiluomo;;;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344084618l/433884._SY160_.jpg;Napoleone minacciava il traballante Sacro Romano Impero dei tedeschi, i prussiani tramavano con tutti alle spalle di tutti, gli inglesi si infuriavano, e dalla lontana America un Congresso perplesso manda un giovane gentiluomo a cercare di capirci qualcosa, ovverossia a fare diplomaticamente la spia nelle corti europee. Scritto miracolosamente giorno dopo giorno, sui tavoli delle locande, alla luce delle candele, o in strada, su uno scrittoio portatile, tra incontri con Goethe, Fichte e il re di Prussia e frettolosi amori con cameriere e dame compiacenti, questo è il diario di un viaggio così vero da sembrare una mistificazione perfetta.;;;Did-not-finish;3.38;2026-05-23;;;;;;;;Sala;YYYY-MM-DD
Breve storia delle crociate;Riley-Smith, Jonathan;Mondadori;1997-01-01;Copertina flessibile;1;;;Italiano;9788804432364;;https://www.amazon.it/dp/8804432365?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51OEqViB16L._SL500_.jpg;A comprehensive history of the Crusades: an account of the theology of violence behind the Crusades, the major Crusades, the experience of crusading, and the crusaders themselves.;;;Storia militare;3.69;2026-05-23;;;;;;;;Sala;05/23/2026
Cambridge advanced learner's dictionary. Con CD-ROM;"Woodford, Kate; Jackson, Guy";Loescher;2003-08-23;Copertina flessibile;1562;;;Inglese;9780521531061;;https://www.amazon.it/dp/0521531063?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41FHG860C3L._SL500_.jpg;The Cambridge Advanced Learner's Dictionary doesn't just help you find words quickly and understand them easily. It gives the vital support which advanced students need, especially with the essential skills: reading, writing, listening and speaking. Key Features, In the book: * 170,000 words, phrases and examples * New words: all the important new words that have come into the language (e.g. dirty bomb, lairy, jus, 9/11, clickable) so that your English stays up-to-date * Colour headwords: so that you can find the word you are looking for quickly * Idiom Finder: making idioms so much easier to find * 200 'Common Learner Error' notes show how to avoid common mistakes * 25,000 collocations show the way words work together in English * Colour pictures: 16 full page colour pictures that explain groups of words visually. On the CD-ROM: * Sound: recordings in British and American English for all words, plus practice tools to help improve pronunciation * UNIQUE Smart Thesaurus helps you choose the right word - fast * QUICKfind looks up words for you while you are working or reading on screen * UNIQUE SUPERwrite gives on screen help with grammar, spelling and collocation when you are writing. * Hundreds of interactive exercises can be printed for classroom use or done on-screen * Copy and paste lets you use any part of the dictionary in your own documents;;;Dizionari e vocabolari;3.80;2026-05-23;;;;;;;;Sala;
Cronache del dopobomba;"Dick, Philip K.; Nati, Maurizio; Pagetti, Carlo";Fanucci;2012-03-01;Copertina flessibile;276;;;Italiano;9788834718735;;https://www.goodreads.com/book/show/17886838-cronache-del-dopobomba;;;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549711961l/17886838._SX98_.jpg;"Che cosa accade dopo la fine del mondo? Cosa avviene quando la Bomba - quella di cui tutti parlavano dal 1945 - viene finalmente lanciata? Apparso nel 1963, ""Cronache del dopobomba"" narra il mondo dopo il lancio dell'ordigno che ha messo in ginocchio l'umanità, cancellando dalla faccia della terra città ed esseri viventi. I sopravvissuti non sono più uguali a prima, ma rappresentano l'embrione di una stirpe che ha innestato sulle malinconie di una civiltà al crepuscolo il vitalismo confuso di una razza agli albori. L'intero pianeta viene rappresentato da una piccola comunità californiana, in cui i superstiti vivono aggrappati alle onde radio che provengono dallo spazio. Il loro profeta è Walt Dangerfield, l'astronauta rimasto bloccato in orbita prima della catastrofe atomica, e che dal cielo trasmette alla Terra nastri musicali e pedagogici. Introduzione di Carlo Pagetti. Postfazione di Antonio Gnoli.";;;Science-fiction;3.70;2026-05-22;;;;;;;;Sala;
D'amore e ombra;"Allende, Isabel; Morino, Angelo";Feltrinelli;2006-01-01;Copertina flessibile;244;;;Italiano;9788807810213;;https://www.amazon.it/dp/B004ZKPD0S?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/51A28gg9P2L._SL500_.jpg;Sullo sfondo dell'inquieto scenario della società cilena, il sorgere di un amore tra due giovani giornalisti impegnati in una pericolosa indagine. Evangelina, una ragazza di facoltà medianiche, sparisce all'improvviso sequestrata dalla polizia. I due giovani, Irene e Francisco, si mettono alla sua ricerca, percorrendo una triste trafila che li porta dai commissariati alle carceri, dalla morgue ai campi di concentramento, mentre l'incubo della dittatura si fa sempre più incombente. Nell'appassionata descrizione della crescita sentimentale ed etica dei due giovani, dietro cui si cela una vicenda collettiva dura e drammatica, e nella perfetta costruzione di una trama che si fa via via sempre più avvincente, Isabel Allende dispiega ancora una volta le grandi doti di narratrice che hanno fatto de La casa degli spiriti un bestseller mondiale.;;;Narrativa contemporanea;4.00;2026-05-23;;;;;;;;Sala;
Diario di scuola;"Pennac, Daniel; Mélaouah, Yasmina";Feltrinelli Editore;2013-01-02;Ebook;258;;;Italiano;9788807880902;;https://www.amazon.it/dp/B017PFLN4Y?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/31IjxXkKjPL._SL500_.jpg;"L'autore affronta il grande tema della scuola dal punto di vista degli alunni. In verità dicendo ""alunni"" si dice qualcosa di troppo vago: qui è in gioco il punto di vista degli ""sfaticati"", dei ""fannulloni"", degli ""scavezzacollo"", dei ""marioli"", dei ""cattivi soggetti"", insomma di quelli che vanno male a scuola. Pennac, ex scaldabanco lui stesso, studia questa figura popolare e ampiamente diffusa dandogli nobiltà, restituendogli anche il peso d'angoscia e di dolore che gli appartiene. Il libro mescola ricordi autobiografici e riflessioni sulla pedagogia, sulle universali disfunzioni dell'istituto scolastico, sul ruolo dei genitori e della famiglia, sulla devastazione introdotta dal giovanilismo, sul ruolo della televisione e di tutte le declinazioni dei media contemporanei. E da questo rovistare nel ""mal di scuola"" che attraversa con vitalissima continuità i vagabondaggi narrativi di Pennac vediamo anche spuntare una non mai sedata sete di sapere e d'imparare che contrariamente ai più triti luoghi comuni, anima i giovani di oggi come quelli di ieri. Con la solita verve, l'autore della saga dei Malaussène movimenta riflessioni e affondi teorici con episodi buffi o toccanti, e colloca la nozione di amore, così ferocemente avversata, al centro della relazione pedagogica.";;;Saggi;3.61;2026-05-23;;;;;;;;Sala;
Donna per caso;"Coe, Jonathan; Massaron, Stefano";Feltrinelli;2006-02-06;Copertina flessibile;157;;;Italiano;9788807840241;;https://www.amazon.it/dp/8807840243?tag=handylibitaly-21&linkCode=osi&th=1&psc=1;;;https://m.media-amazon.com/images/I/41u2Oapvn6L._SL500_.jpg;"Per Maria non c'è nulla di certo. La sua vita è una sequenza di episodi accidentali. L'amicizia di chi la circonda non la smuove, e non la smuovono neppure le reiterate offerte di matrimonio da parte di Ronny, innamorato devoto. Le piace vivere dentro i confini che certamente sente come il suo mondo ma che altrettanto sicuramente sa non essere prodotto di una ""sua"" precisa volontà. Si laurea, si sposa, ha un figlio e continua a non capire come di quegli eventi si possa dire ""la mia vita"". Esiste un grimaldello capace di far saltare l'apparente freddezza esistenziale di Maria? O tutto è destinato a finire com'è cominciato, vale a dire ""per caso""? ""Donna per caso"" è il primo romanzo di Jonathan Coe.";;;Narrativa contemporanea;3.09;2026-05-23;;;;;;;;Sala;
